time,bpm,source,device
2018-08-01T14:00:00Z,76.0,health_connect,unknown
2018-08-02T14:00:00Z,76.0,health_connect,unknown
2018-08-05T14:00:00Z,76.0,health_connect,unknown
2018-08-06T14:00:00Z,76.0,health_connect,unknown
2018-08-07T14:00:00Z,77.0,health_connect,unknown
2018-08-08T14:00:00Z,76.0,health_connect,unknown
2018-08-09T14:00:00Z,76.0,health_connect,unknown
2018-08-10T14:00:00Z,76.0,health_connect,unknown
2018-08-16T14:00:00Z,76.0,health_connect,unknown
2018-08-17T14:00:00Z,75.0,health_connect,unknown
2018-08-18T14:00:00Z,75.0,health_connect,unknown
2018-08-19T14:00:00Z,75.0,health_connect,unknown
2018-08-20T14:00:00Z,78.0,health_connect,unknown
2018-08-21T14:00:00Z,78.0,health_connect,unknown
2018-08-22T14:00:00Z,78.0,health_connect,unknown
2018-09-25T14:00:00Z,74.0,health_connect,unknown
2018-09-26T14:00:00Z,76.0,health_connect,unknown
2018-09-27T14:00:00Z,78.0,health_connect,unknown
2018-09-28T14:00:00Z,77.0,health_connect,unknown
2018-09-29T14:00:00Z,77.0,health_connect,unknown
2018-10-01T14:00:00Z,77.0,health_connect,unknown
2018-10-02T14:00:00Z,75.0,health_connect,unknown
2018-10-03T14:00:00Z,74.0,health_connect,unknown
2018-10-04T14:00:00Z,76.0,health_connect,unknown
2018-10-05T14:00:00Z,75.0,health_connect,unknown
2018-10-06T14:00:00Z,74.0,health_connect,unknown
2018-10-07T13:00:00Z,75.0,health_connect,unknown
2018-10-08T13:00:00Z,74.0,health_connect,unknown
2018-10-09T13:00:00Z,77.0,health_connect,unknown
2018-10-10T13:00:00Z,77.0,health_connect,unknown
2018-10-11T13:00:00Z,77.0,health_connect,unknown
2018-10-13T13:00:00Z,77.0,health_connect,unknown
2018-10-14T13:00:00Z,74.0,health_connect,unknown
2018-10-15T13:00:00Z,74.0,health_connect,unknown
2018-10-16T13:00:00Z,72.0,health_connect,unknown
2018-10-17T13:00:00Z,74.0,health_connect,unknown
2018-10-18T13:00:00Z,75.0,health_connect,unknown
2018-10-19T13:00:00Z,75.0,health_connect,unknown
2018-10-20T13:00:00Z,75.0,health_connect,unknown
2018-10-21T13:00:00Z,74.0,health_connect,unknown
2018-10-22T13:00:00Z,75.0,health_connect,unknown
2018-10-24T13:00:00Z,73.0,health_connect,unknown
2018-10-25T13:00:00Z,74.0,health_connect,unknown
2018-10-26T13:00:00Z,75.0,health_connect,unknown
2018-10-27T13:00:00Z,76.0,health_connect,unknown
2018-10-28T13:00:00Z,77.0,health_connect,unknown
2018-10-29T13:00:00Z,74.0,health_connect,unknown
2018-10-30T13:00:00Z,76.0,health_connect,unknown
2018-10-31T13:00:00Z,77.0,health_connect,unknown
2018-11-01T13:00:00Z,79.0,health_connect,unknown
2018-11-02T13:00:00Z,79.0,health_connect,unknown
2018-11-03T13:00:00Z,78.0,health_connect,unknown
2018-11-04T13:00:00Z,79.0,health_connect,unknown
2018-11-05T13:00:00Z,78.0,health_connect,unknown
2018-11-06T13:00:00Z,78.0,health_connect,unknown
2018-11-07T13:00:00Z,75.0,health_connect,unknown
2018-11-08T13:00:00Z,73.0,health_connect,unknown
2018-11-09T13:00:00Z,73.0,health_connect,unknown
2018-11-11T13:00:00Z,74.0,health_connect,unknown
2018-11-12T13:00:00Z,75.0,health_connect,unknown
2018-11-13T13:00:00Z,74.0,health_connect,unknown
2018-11-14T13:00:00Z,77.0,health_connect,unknown
2018-11-15T13:00:00Z,75.0,health_connect,unknown
