time,bpm
1526479200000,83.0
1526565600000,84.0
1526652000000,82.0
1526738400000,81.0
1526824800000,82.0
1526911200000,80.0
1526997600000,82.0
1527084000000,80.0
1527170400000,80.0
1527256800000,82.0
1527343200000,81.0
1527429600000,80.0
1527516000000,81.0
1527602400000,80.0
1527688800000,83.0
1527775200000,82.0
1527861600000,82.0
1527948000000,81.0
1528034400000,80.0
1528120800000,80.0
1528207200000,80.0
1528293600000,80.0
1528380000000,82.0
1528466400000,82.0
1528552800000,83.0
1528639200000,84.0
1528725600000,82.0
1528812000000,84.0
1532095200000,82.0
1532181600000,81.0
1532268000000,82.0
1532354400000,83.0
1532440800000,82.0
1532527200000,82.0
1532613600000,81.0
1532700000000,81.0
1532786400000,80.0
1532872800000,80.0
1532959200000,79.0
1533045600000,77.0
1533132000000,76.0
1533218400000,76.0
1533477600000,76.0
1533564000000,76.0
1533650400000,77.0
1533736800000,76.0
1533823200000,76.0
1533909600000,76.0
1534428000000,76.0
1534514400000,75.0
1534600800000,75.0
1534687200000,75.0
1534773600000,78.0
1534860000000,78.0
1534946400000,78.0
1537884000000,74.0
1537970400000,76.0
1538056800000,78.0
1538143200000,77.0
1538229600000,77.0
1538402400000,77.0
1538488800000,75.0
1538575200000,74.0
1538661600000,76.0
1538748000000,75.0
1538834400000,74.0
1538917200000,75.0
1539003600000,74.0
1539090000000,77.0
1539176400000,77.0
1539262800000,77.0
1539435600000,77.0
1539522000000,74.0
1539608400000,74.0
1539694800000,72.0
1539781200000,74.0
1539867600000,75.0
1539954000000,75.0
1540040400000,75.0
1540126800000,74.0
1540213200000,75.0
1540386000000,73.0
1540472400000,74.0
1540558800000,75.0
1540645200000,76.0
1540731600000,77.0
1540818000000,74.0
1540904400000,76.0
1540990800000,77.0
1541077200000,79.0
1541163600000,79.0
1541250000000,78.0
1541336400000,79.0
1541422800000,78.0
1541509200000,78.0
1541595600000,75.0
1541682000000,73.0
1541768400000,73.0
1541941200000,74.0
1542027600000,75.0
1542114000000,74.0
1542200400000,77.0
1542286800000,75.0
1542373200000,74.0
1542459600000,71.0
1542546000000,70.0
1542632400000,72.0
1542718800000,73.0
1542805200000,76.0
1543237200000,75.0
1550667600000,74.0
1550754000000,73.0
1550926800000,74.0
1551013200000,74.0
1551099600000,75.0
1551186000000,77.0
1551272400000,77.0
1551358800000,78.0
1551445200000,77.0
1551531600000,78.0
1551618000000,77.0
1552568400000,76.0
1552654800000,73.0
1552741200000,72.0
1552827600000,73.0
1552914000000,72.0
1553000400000,73.0
1553086800000,75.0
1553691600000,77.0
1553778000000,78.0
1553864400000,79.0
1553950800000,79.0
1554037200000,79.0
