time,spo2_pct,pulse_bpm
2021-07-16T15:25:00Z,95.0,89.5
2021-07-16T16:25:00Z,97.0,88.0
2021-07-16T17:26:00Z,95.0,76.5
2021-07-16T18:26:00Z,94.5,74.0
2021-07-16T19:47:00Z,96.0,66.0
2021-07-16T20:48:00Z,96.0,69.0
2021-07-16T21:18:00Z,96.5,71.0
2021-07-16T22:35:00Z,96.0,65.0
2021-07-16T23:05:00Z,97.0,76.0
2021-07-16T23:35:00Z,96.0,74.0
2021-07-17T02:36:00Z,96.0,73.0
2021-07-17T03:39:00Z,98.0,72.0
2021-07-19T03:49:00Z,97.0,80.0
2021-07-19T04:21:00Z,96.0,70.0
2021-07-19T05:34:00Z,95.0,87.0
2021-07-19T11:19:00Z,97.0,85.0
2021-07-19T14:11:00Z,98.0,84.0
2021-07-19T16:34:00Z,97.0,70.0
2021-07-19T17:04:00Z,96.0,80.0
2021-07-19T17:34:00Z,96.0,80.0
2021-07-19T19:20:00Z,97.0,73.0
2021-07-19T20:19:00Z,97.5,70.0
2021-07-19T21:19:00Z,97.0,68.0
2021-07-19T21:49:00Z,95.0,68.0
2021-07-19T23:17:00Z,96.0,65.0
2021-07-20T00:17:00Z,97.0,72.0
2021-07-20T01:10:00Z,96.5,73.0
2021-07-20T03:12:00Z,87.0,82.0
2021-07-20T13:09:00Z,96.0,81.0
2021-07-20T15:55:00Z,96.0,82.0
2021-07-20T16:26:00Z,95.5,79.5
2021-07-20T18:49:00Z,97.0,72.0
2021-07-24T13:50:00Z,95.0,76.0
2021-07-24T14:20:00Z,95.5,84.5
2021-07-24T15:20:00Z,96.0,78.0
2021-07-24T16:05:00Z,95.0,71.0
2021-07-24T16:35:00Z,97.0,78.0
2021-07-24T17:05:00Z,89.0,74.0
2021-07-24T18:21:00Z,95.5,67.5
2021-07-24T19:27:00Z,93.0,66.0
2021-07-24T20:27:00Z,94.0,69.0
2021-07-24T21:57:00Z,94.0,69.0
2021-07-24T22:57:00Z,96.0,67.0
2021-07-25T00:09:00Z,96.0,65.0
2021-07-25T01:23:00Z,94.5,71.5
2021-07-25T03:54:00Z,85.0,81.0
2021-07-25T16:26:00Z,92.0,66.0
2021-07-25T17:02:00Z,97.0,73.0
2021-07-25T18:41:00Z,90.0,67.0
2021-07-25T20:15:00Z,94.0,58.0
2021-07-25T20:45:00Z,97.0,70.0
2021-07-25T22:00:00Z,97.5,61.5
2021-07-25T23:30:00Z,98.0,68.0
2021-07-26T00:27:00Z,99.0,69.0
2021-07-27T07:43:00Z,97.0,89.0
2021-07-27T23:47:00Z,96.0,74.0
2021-07-28T05:16:00Z,94.0,87.0
2021-07-28T06:29:00Z,95.0,81.0
2021-07-28T09:04:00Z,97.0,91.0
